framenr,roinr,mx,my,count
1704,2,16,40,1
1704,0,1,20,0
1704,7,41,23,0
1704,9,56,29,2
1704,8,56,22,0
1704,6,37,23,1
1704,4,27,19,2
1704,3,26,22,2
1704,5,33,17,1
1704,1,1,7,2
1760,2,7,55,0
1760,0,1,2,0
1760,16,46,24,1
1760,11,23,29,1
1760,7,18,51,0
1760,9,23,27,1
1760,10,23,17,0
1760,8,21,34,0
1760,6,18,22,0
1760,4,13,54,2
1760,3,10,41,0
1760,5,16,39,1
1760,13,27,18,0
1760,14,31,26,2
1760,15,42,25,0
1760,12,24,22,1
1760,1,7,15,1
306,2,15,42,1
306,0,1,2,0
306,16,46,35,0
306,11,36,12,0
306,7,31,32,0
306,9,34,13,1
306,10,34,16,1
306,8,32,11,0
306,6,29,33,0
306,4,27,29,1
306,3,18,37,2
306,5,28,22,2
306,13,37,20,0
306,14,41,29,0
306,15,43,23,1
306,12,37,14,0
306,1,13,53,1
1316,2,12,17,1
1316,0,1,9,0
1316,11,47,19,0
1316,7,21,46,0
1316,9,29,21,0
1316,10,43,21,0
1316,8,23,27,1
1316,6,23,22,1
1316,4,15,45,1
1316,3,14,22,0
1316,5,16,38,0
1316,13,55,18,0
1316,14,58,29,1
1316,15,60,60,0
1316,12,46,24,2
1316,1,8,46,0
1090,2,17,39,1
1090,0,1,5,0
1090,11,42,6,0
1090,7,30,24,0
1090,9,35,23,1
1090,10,39,6,0
1090,8,35,1,2
1090,6,28,33,0
1090,4,25,22,1
1090,3,22,34,1
1090,5,25,27,1
1090,13,53,30,0
1090,14,60,38,1
1090,15,60,35,1
1090,12,46,24,0
1090,1,13,56,0
2111,2,16,20,1
2111,0,1,7,0
2111,11,50,25,2
2111,7,27,26,0
2111,9,41,23,1
2111,10,45,24,0
2111,8,30,27,1
2111,6,25,22,2
2111,4,18,36,1
2111,3,16,41,2
2111,5,23,37,0
2111,12,60,29,1
2111,1,6,15,1
1333,2,7,9,0
1333,0,1,2,0
1333,11,34,23,1
1333,7,27,26,0
1333,9,31,9,1
1333,10,33,5,0
1333,8,30,59,0
1333,6,18,56,0
1333,4,13,48,1
1333,3,13,17,1
1333,5,16,40,2
1333,13,57,27,2
1333,12,38,4,0
1333,1,4,11,1
29,2,17,39,4
29,0,1,43,0
29,11,36,17,0
