framenr,roinr,mx,my,count
1704,7,53,19,1
1704,4,30,14,2
1704,2,13,37,2
1704,3,23,18,3
1704,0,1,26,0
1704,5,34,20,1
1704,8,53,26,2
1704,6,38,20,1
1704,1,1,4,2
1760,2,4,52,1
1760,0,28,42,0
1760,11,21,19,1
1760,7,15,48,1
1760,9,20,25,1
1760,10,20,14,1
1760,8,18,31,0
1760,6,15,19,1
1760,4,10,51,2
1760,3,7,38,0
1760,5,13,36,1
1760,13,28,23,2
1760,14,39,22,1
1760,15,43,21,1
1760,12,24,15,1
1760,1,4,12,1
306,2,12,39,2
306,0,1,8,0
306,11,38,26,1
306,7,29,8,1
306,9,31,13,1
306,10,34,17,1
306,8,33,10,1
306,6,27,30,1
306,4,24,26,1
306,3,15,34,2
306,5,25,19,2
306,13,43,32,0
306,12,40,20,1
306,1,10,50,1
1316,2,9,14,2
1316,0,18,2,0
1316,16,54,26,1
1316,11,26,18,1
1316,7,18,43,0
1316,9,20,24,2
1316,10,21,20,4
1316,17,54,54,0
1316,8,19,19,3
1316,6,17,17,4
1316,4,12,42,3
1316,3,11,19,2
1316,5,13,35,0
1316,13,44,16,2
1316,14,43,21,2
1316,15,52,15,0
1316,12,40,18,2
1316,1,5,43,1
1090,2,14,36,2
1090,0,1,5,0
1090,11,50,27,0
1090,7,32,1,4
1090,9,38,3,2
1090,10,43,21,0
1090,8,32,20,1
1090,6,27,21,2
1090,4,22,21,2
1090,3,19,31,1
1090,5,25,30,0
1090,12,54,33,1
1090,1,10,53,0
2111,2,13,17,1
2111,0,1,26,0
2111,11,47,22,2
2111,7,24,23,3
2111,9,38,20,1
2111,10,42,21,2
2111,8,27,24,2
2111,6,22,19,2
2111,4,15,33,1
2111,3,13,38,3
2111,5,20,34,1
2111,12,54,26,2
2111,1,3,12,1
1333,2,10,14,1
1333,0,1,28,0
1333,11,54,24,2
1333,7,27,54,0
1333,9,31,20,2
1333,10,35,1,1
1333,8,29,3,1
1333,6,24,23,1
1333,4,13,37,3
1333,3,10,45,2
1333,5,15,53,0
1333,1,2,7,2
29,2,14,36,5
29,0,1,2,0
29,16,52,25,3
29,11,29,14,2
29,7,25,12,2
29,9,28,10,1
29,10,28,19,2
29,8,26,15,4
29,6,24,27,1
29,4,22,22,3
29,3,18,18,2
29,5,23,19,3
29,13,44,21,3
29,14,47,22,4
29,15,49,24,4
29,12,33,14,1
29,1,10,48,3
2381,7,25,26,1
2381,4,15,41,1
2381,2,5,13,1
2381,3,11,32,1
2381,0,2,48,0
2381,5,17,30,3
2381,8,29,29,1
2381,6,24,16,2
2381,1,1,21,0
1671,2,5,48,2
1671,0,1,28,0
1671,11,47,23,3
1671,7,32,15,1
1671,9,37,27,0
1671,10,37,33,0
1671,8,35,20,2
1671,6,26,16,1
1671,4,22,10,1
1671,3,11,50,2
1671,5,22,15,1
1671,13,54,28,4
1671,12,51,29,1
1671,1,1,9,1
1131,2,1,17,0
1131,0,1,32,0
1131,7,24,15,1
1131,9,50,23,1
1131,10,54,19,1
1131,8,36,20,1
1131,6,20,26,1
1131,4,11,14,1
1131,3,5,14,1
1131,5,16,31,2
1131,1,1,4,1
2126,2,3,45,0
2126,0,25,37,0
2126,11,38,1,1
2126,7,22,14,0
2126,9,32,3,1
2126,10,33,1,1
2126,8,23,19,1
2126,6,11,42,1
2126,4,7,42,1
2126,3,7,8,0
2126,5,10,49,1
2126,13,42,21,1
2126,14,44,28,0
2126,15,49,24,1
2126,12,38,2,1
2126,1,3,30,0
74,7,54,25,1
74,4,13,36,1
