framenr,roinr,mx,my,count
1704,2,12,36,2
1704,0,2,19,0
1704,7,37,19,1
1704,9,52,25,2
1704,8,52,18,1
1704,6,33,19,2
1704,4,23,15,4
1704,3,22,18,5
1704,5,29,13,4
1704,1,1,3,2
1760,2,3,51,2
1760,0,31,40,0
1760,11,20,18,3
1760,7,14,47,2
1760,9,19,24,2
1760,10,19,13,1
1760,8,17,30,2
1760,6,14,18,2
1760,4,9,50,2
1760,3,6,37,1
1760,5,12,35,1
1760,13,27,22,2
1760,14,38,21,1
1760,15,42,20,1
1760,12,23,14,1
1760,1,3,11,1
306,2,11,38,2
306,0,1,14,0
306,11,42,31,0
306,7,30,9,1
306,9,37,25,1
306,10,39,19,1
306,8,33,16,2
306,6,26,29,1
306,4,23,25,3
306,3,14,33,3
306,5,24,18,2
306,1,9,49,1
1316,2,8,13,2
1316,0,33,49,0
1316,11,43,15,2
1316,7,17,42,1
1316,9,25,17,1
1316,10,39,17,2
1316,8,19,23,4
1316,6,19,18,4
1316,4,11,41,3
1316,3,10,18,4
1316,5,12,34,0
1316,13,51,14,0
1316,14,52,25,1
1316,15,52,52,0
1316,12,42,20,2
1316,1,4,42,2
1090,2,13,35,2
1090,0,1,2,0
1090,11,42,20,0
1090,7,26,20,3
1090,9,31,19,1
1090,10,37,2,3
1090,8,31,1,4
1090,6,24,29,1
1090,4,21,18,2
1090,3,18,30,2
1090,5,21,23,2
1090,13,52,32,1
1090,12,49,26,0
1090,1,9,52,0
2111,2,12,16,1
2111,0,23,2,0
2111,7,38,19,1
2111,9,52,25,3
2111,8,46,21,2
2111,6,23,20,3
2111,4,14,32,2
2111,3,12,37,3
2111,5,19,33,1
2111,1,2,11,1
1333,2,3,5,2
1333,0,34,36,0
1333,11,30,19,2
1333,7,23,22,2
1333,9,27,5,1
1333,10,29,1,1
1333,8,26,52,0
1333,6,14,52,0
1333,4,9,44,3
1333,3,9,13,1
1333,5,12,36,3
1333,13,52,23,2
1333,12,34,1,1
1333,1,1,7,2
29,2,13,35,5
29,0,2,2,0
29,11,43,20,4
29,7,25,13,4
29,9,27,18,2
29,10,32,13,2
29,8,27,9,2
29,6,23,26,2
29,4,21,21,5
29,3,17,17,2
29,5,22,18,4
29,13,51,24,4
29,12,47,22,5
29,1,9,47,3
2381,7,25,26,1
2381,4,14,40,1
2381,2,4,12,1
2381,3,10,31,2
2381,0,29,50,0
2381,5,16,29,3
2381,6,23,15,2
2381,1,1,20,0
1671,2,4,47,2
1671,0,2,29,0
1671,11,36,32,0
1671,7,25,14,1
1671,9,34,19,2
1671,10,36,26,1
1671,8,31,14,3
1671,6,24,19,1
1671,4,21,9,1
1671,3,10,49,2
1671,5,21,14,1
1671,13,50,28,2
1671,14,52,27,4
1671,12,46,22,3
1671,1,1,8,1
1131,2,1,16,0
1131,0,1,40,0
1131,7,23,14,1
1131,9,49,22,1
1131,10,52,18,1
1131,8,35,19,1
1131,6,19,25,2
1131,4,10,13,1
1131,3,4,13,1
1131,5,15,30,2
1131,1,1,3,1
2126,2,2,44,0
2126,0,27,50,0
2126,11,37,1,1
2126,7,21,13,1
2126,9,31,2,1
2126,10,32,1,1
2126,8,22,18,1
2126,6,10,41,1
2126,4,6,41,1
2126,3,6,7,0
2126,5,9,48,1
2126,13,41,20,1
2126,14,43,27,1
2126,15,48,23,1
2126,12,37,1,1
2126,1,2,29,0
74,7,52,24,1
74,4,12,35,1
74,2,9,47,2
74,3,11,15,1
74,0,21,1,0
74,5,29,20,1
74,6,39,18,2
74,1,1,7,2
1662,2,10,52,1
1662,0,1,1,0
1662,11,32,19,4
1662,7,26,14,2
1662,9,28,23,3
1662,10,30,10,1
1662,8,29,16,4
1662,6,22,16,2
1662,4,16,31,3
1662,3,16,26,2
1662,5,22,12,1
1662,13,52,17,0
1662,12,41,19,2
1662,1,9,32,2
1265,2,9,33,1
1265,0,34,44,0
1265,11,30,1,1
1265,7,15,16,1
1265,9,17,44,0
1265,10,29,19,2
1265,8,15,32,1
1265,6,11,42,3
1265,4,10,16,1
1265,3,9,51,3
1265,5,11,19,1
1265,13,31,25,3
1265,14,36,1,1
1265,15,38,20,1
1265,12,31,6,1
1265,1,10,47,5
905,2,12,40,2
905,0,1,4,0
905,11,52,25,1
905,7,28,19,2
905,9,33,12,1
905,10,42,19,4
905,8,30,7,1
905,6,29,11,1
905,4,18,25,2
905,3,16,15,1
905,5,24,18,2
905,1,10,45,3
2376,2,16,17,1
2376,0,1,3,0
2376,7,42,20,2
2376,9,52,25,2
2376,8,45,26,2
2376,6,35,20,2
2376,4,24,15,2
2376,3,16,30,1
2376,5,29,21,3
2376,1,10,40,2
176,2,16,29,5
176,0,1,1,0
176,7,33,7,2
176,9,46,21,2
176,8,36,20,2
176,6,29,10,2
176,4,20,27,5
176,3,16,35,3
176,5,28,2,1
176,1,9,42,3
1469,18,36,20,1
1469,2,7,12,1
1469,0,1,51,0
1469,16,34,2,1
1469,11,28,29,2
1469,7,21,28,3
1469,9,27,2,1
1469,10,25,25,5
1469,19,37,16,1
1469,17,35,13,1
1469,8,23,16,3
1469,6,20,37,1
1469,4,22,20,4
1469,3,15,33,2
1469,5,20,33,2
1469,20,39,19,1
1469,13,29,19,3
1469,14,31,28,1
1469,15,32,1,1
1469,12,31,7,1
1469,1,4,11,1
2308,4,31,2,2
2308,2,17,28,2
2308,3,24,20,6
2308,0,1,7,0
2308,5,39,20,2
2308,1,11,43,2
892,4,23,18,1
892,2,11,40,3
892,3,16,29,1
892,0,29,47,0
892,5,29,10,1
892,6,43,20,2
892,1,9,13,1
285,2,9,52,1
285,0,1,3,0
285,7,27,22,2
285,9,52,25,5
285,10,52,21,3
285,8,31,19,2
285,6,23,30,1
285,4,14,30,4
285,3,13,35,4
285,5,18,28,2
285,1,6,35,1
1461,18,51,23,2
1461,2,9,47,2
1461,0,26,43,0
1461,16,46,25,1
1461,11,28,17,3
1461,7,23,20,1
1461,9,25,14,3
1461,10,30,9,2
1461,17,47,17,0
1461,8,25,11,1
1461,6,20,19,1
1461,4,11,52,3
1461,3,11,52,3
1461,5,17,27,2
1461,13,31,19,1
1461,14,33,14,2
1461,15,36,10,0
1461,12,33,3,1
1461,1,1,11,1
1881,4,30,6,1
1881,2,10,47,2
1881,3,27,21,2
1881,0,1,26,0
1881,5,49,22,2
1881,1,1,6,1
1693,4,40,19,5
1693,2,16,33,4
1693,3,21,21,2
1693,0,1,9,0
1693,1,10,48,2
1481,2,10,42,1
1481,0,1,17,0
1481,11,30,5,1
1481,7,27,11,3
1481,9,28,21,3
1481,10,29,15,4
1481,8,24,25,3
1481,6,23,18,3
1481,4,13,50,1
1481,3,11,39,1
1481,5,18,18,1
1481,13,38,1,1
1481,14,52,20,1
1481,15,52,26,2
1481,12,31,1,1
1481,1,9,52,1
318,2,6,52,3
318,0,26,51,0
318,16,44,20,2
318,11,29,4,2
318,7,22,20,3
318,9,29,12,2
318,10,28,18,1
318,17,48,21,2
318,8,22,26,3
318,6,16,31,4
318,4,11,40,2
318,3,9,51,2
318,5,16,17,1
318,13,33,4,2
318,14,33,9,2
318,15,37,20,2
318,12,31,1,2
318,1,1,9,1
2420,4,31,19,3
2420,2,9,48,1
2420,3,28,31,0
2420,0,2,32,0
2420,5,38,28,0
