framenr,mean,std,threshold,score,distance
1,0.01200174227035171,0.0032072987974578766,0.015209041067809587,2.5135135135135136,3.0
2,0.01213599633068207,0.0035663675254965937,0.015702363856178663,5.2,3.0
3,0.012399844042067208,0.004680597258262592,0.017080441300329798,6.285714285714286,6.0
4,0.012321909779840916,0.004328481919973865,0.016650391699814783,6.666666666666667,3.0
5,0.012115287125915532,0.0041497854808333606,0.016265072606748893,6.681818181818182,3.0
6,0.012337653096866172,0.0039887807123446,0.016326433809210773,6.416666666666667,4.242640687119286
7,0.012572271734569306,0.0046120846212520696,0.017184356355821377,6.6,3.0
8,0.013083694841020056,0.0056680735314932635,0.01875176837251332,4.555555555555555,3.0
9,0.012628431342746235,0.00581661817284348,0.018445049515589715,5.5,3.0
10,0.01165789272907606,0.0030417781962614595,0.015003848744963666,1.8275862068965518,3.0
11,0.012727834780556183,0.006171506132039526,0.018899340912595708,4.25,3.0
12,0.01298682836461432,0.006248048040756445,0.019234876405370766,4.0,3.0
13,0.013999455950303264,0.007459566550060515,0.02145902250036378,2.6666666666666665,3.0
14,0.013485115897039742,0.005887650801667754,0.019372766698707494,4.615384615384615,3.0
15,0.01202349457231822,0.004621210596390444,0.016644705168708664,2.2857142857142856,3.0
16,0.011846141970893408,0.0036402981304626968,0.015486440101356105,0.5714285714285714,3.0
17,0.012673549021992058,0.004879175902677466,0.017552724924669524,-0.5263157894736842,3.0
18,0.013102824498598068,0.00644722609961004,0.019550050598208107,9.142857142857142,4.242640687119286
19,0.013201497768368039,0.006419185382686547,0.019620683151054585,6.857142857142857,6.0
20,0.011876563155661091,0.0038313439705399905,0.01570790712620108,1.7692307692307692,4.242640687119286
21,0.011818794197518495,0.0041824092434512,0.016001203440969697,4.222222222222222,6.0
22,0.012312860911631182,0.005477476548924566,0.01779033746055575,14.25,8.485281374238571
23,0.012135575366454942,0.003828300889228724,0.015963876255683667,3.35,3.0
24,0.012181788297760732,0.004245297729512232,0.016427086027272962,3.0588235294117645,3.0
25,0.012579260485809103,0.0042957811124721265,0.01687504159828123,7.9,3.0
26,0.012596289047598604,0.004869850224934292,0.017466139272532898,1.3333333333333333,3.0
27,0.013093254081788349,0.005585341195540702,0.01867859527732905,3.3846153846153846,3.0
28,0.013751943886139078,0.006556101066144062,0.02030804495228314,2.0,3.0
29,0.014629497835126258,0.008667210474919224,0.02329670831004548,3.8461538461538463,3.0
30,0.014219292410543972,0.008033054387380919,0.022252346797924892,6.818181818181818,3.0
31,0.013429958407244211,0.005196985317825155,0.018626943725069366,2.4,3.0
32,0.012084225181439298,0.004390267828341249,0.016474493009780548,0.2857142857142857,3.0
33,0.012681815567301816,0.004866664230131093,0.01754847979743291,5.111111111111111,4.242640687119286
34,0.012682840037766072,0.00585754893377594,0.01854038897154201,5.571428571428571,3.0
35,0.012794045375324244,0.005636908350097779,0.018430953725422024,0.38461538461538464,3.0
36,0.011623932464522766,0.0028608301406006452,0.014484762605123411,2.2,3.0
37,0.012811342162108025,0.005025197269452394,0.017836539431560418,4.0,6.0
38,0.012202549657387268,0.0037367184942420084,0.015939268151629278,5.041666666666667,3.0
39,0.011762906539682988,0.0032280639852021987,0.014990970524885187,4.68,3.0
