framenr,roinr,mx,my,count
1704,7,54,27,2
1704,4,31,15,1
1704,2,14,38,1
1704,3,24,19,3
1704,0,1,20,0
1704,5,36,21,1
1704,6,54,20,0
1704,1,1,5,2
1760,2,5,53,0
1760,0,1,30,0
1760,11,22,20,1
1760,7,16,49,0
1760,9,21,26,1
1760,10,21,15,0
1760,8,19,32,0
1760,6,16,20,0
1760,4,11,52,2
1760,3,8,39,0
1760,5,14,37,1
1760,13,29,24,2
1760,14,40,23,1
1760,15,44,22,1
1760,12,25,16,1
1760,1,5,13,1
306,2,13,40,2
306,0,1,2,0
306,11,41,21,1
306,7,33,10,1
306,9,35,18,0
306,10,39,27,0
306,8,32,14,1
306,6,28,31,1
306,4,25,27,1
306,3,16,35,2
306,5,26,20,2
306,12,44,33,0
306,1,11,51,1
1316,2,10,15,2
1316,0,1,2,0
1316,11,45,17,0
1316,7,19,44,0
1316,9,27,19,1
1316,10,41,19,2
1316,8,21,25,1
1316,6,21,20,3
1316,4,13,43,3
1316,3,12,20,1
1316,5,14,36,0
1316,13,53,16,0
1316,14,56,27,1
1316,15,56,56,0
1316,12,44,22,2
1316,1,6,44,0
1090,2,15,37,1
1090,0,1,1,0
1090,11,44,22,0
1090,7,28,22,0
1090,9,33,21,1
1090,10,39,4,1
1090,8,33,1,4
1090,6,26,31,0
1090,4,23,20,2
1090,3,20,32,1
1090,5,23,25,1
1090,13,56,34,1
1090,12,51,28,0
1090,1,11,54,0
2111,2,14,18,1
2111,0,1,29,0
2111,11,48,23,2
2111,7,25,24,3
2111,9,39,21,1
2111,10,43,22,0
2111,8,28,25,2
2111,6,23,20,2
2111,4,16,34,1
2111,3,14,39,3
2111,5,21,35,0
2111,12,56,27,1
2111,1,4,13,1
1333,2,5,7,1
1333,0,1,23,0
1333,11,32,21,2
1333,7,25,24,1
1333,9,29,7,1
1333,10,31,3,1
1333,8,28,56,0
1333,6,16,54,0
1333,4,11,46,2
1333,3,11,15,1
1333,5,14,38,2
1333,13,55,25,2
1333,12,36,2,0
1333,1,2,9,2
29,2,15,37,5
29,0,1,19,0
29,11,34,15,1
29,7,26,13,1
29,9,29,11,1
29,10,29,20,2
29,8,28,16,2
29,6,25,28,1
29,4,23,23,1
29,3,19,19,2
29,5,24,20,2
29,13,49,24,3
