framenr,roinr,mx,my,count
1704,7,50,17,2
1704,4,28,12,5
1704,2,11,35,2
1704,3,21,16,5
1704,0,26,48,0
1704,5,32,18,3
1704,8,50,24,2
1704,6,36,18,1
1704,1,1,2,2
1760,2,8,49,3
1760,0,30,44,0
1760,11,40,19,1
1760,7,18,23,3
1760,9,19,17,4
1760,10,26,21,2
1760,8,20,12,1
1760,6,16,29,2
1760,4,11,34,1
1760,3,5,36,1
1760,5,13,17,2
1760,1,2,10,1
306,2,10,37,3
306,0,2,1,0
306,11,41,30,0
306,7,29,8,1
306,9,36,24,1
306,10,38,18,1
306,8,32,15,2
306,6,25,28,1
306,4,22,24,3
306,3,13,32,3
306,5,23,17,2
306,1,8,48,1
1316,7,41,19,2
1316,4,16,41,2
1316,2,10,40,3
1316,3,19,18,4
1316,0,36,42,0
1316,5,38,16,2
1316,8,50,24,1
1316,6,42,14,2
1316,1,9,17,4
1090,2,12,34,2
1090,0,1,7,0
1090,11,41,19,0
1090,7,25,19,3
1090,9,30,18,1
1090,10,36,1,4
1090,8,30,1,4
1090,6,23,28,2
1090,4,20,17,2
1090,3,17,29,2
1090,5,20,22,3
1090,13,50,31,1
1090,12,48,25,0
1090,1,8,50,0
2111,2,11,15,2
2111,0,33,47,0
2111,7,37,18,1
2111,9,50,24,3
2111,8,45,20,2
2111,6,22,19,3
2111,4,13,31,3
2111,3,11,36,3
2111,5,18,32,2
2111,1,1,10,1
1333,2,8,12,1
1333,0,44,41,0
1333,11,50,22,2
1333,7,25,50,0
1333,9,29,18,2
1333,10,33,1,1
1333,8,27,1,1
1333,6,22,21,2
1333,4,11,35,3
1333,3,8,43,3
1333,5,13,50,1
1333,1,1,5,3
29,7,31,12,2
29,4,21,18,5
29,2,12,34,5
29,3,16,16,3
29,0,1,1,0
29,5,22,25,3
29,8,45,21,6
29,6,25,12,4
29,1,8,46,3
2381,2,3,11,1
2381,0,31,48,0
2381,7,22,18,3
2381,9,25,29,1
2381,10,28,25,1
2381,8,23,24,3
2381,6,22,11,2
2381,4,13,39,1
2381,3,9,30,2
2381,5,15,28,4
2381,1,1,19,0
1671,2,3,46,3
1671,0,47,48,0
1671,11,45,21,3
1671,7,30,13,3
1671,9,35,25,3
1671,10,35,31,0
1671,8,33,18,2
1671,6,24,14,2
1671,4,20,8,1
1671,3,9,48,2
1671,5,20,13,1
1671,13,50,26,4
1671,12,49,27,4
1671,1,1,7,1
1131,2,1,15,1
1131,0,1,44,0
1131,7,22,13,1
1131,9,48,21,1
1131,10,50,17,1
1131,8,34,18,1
1131,6,18,24,2
1131,4,9,12,1
1131,3,3,12,1
1131,5,14,29,2
1131,1,1,2,1
2126,2,1,43,1
2126,0,28,49,0
2126,11,36,1,1
2126,7,20,12,1
2126,9,30,1,1
2126,10,31,1,1
2126,8,21,17,1
2126,6,9,40,1
2126,4,5,40,1
2126,3,5,6,0
2126,5,8,47,2
2126,13,40,19,1
2126,14,42,26,2
2126,15,47,22,2
2126,12,36,1,1
2126,1,1,28,0
74,7,50,23,1
74,4,11,34,1
74,2,8,46,2
74,3,10,14,1
74,0,30,42,0
74,5,28,19,1
74,6,38,17,2
74,1,1,6,2
1662,2,9,50,1
1662,0,1,9,0
1662,11,50,16,0
1662,7,27,22,3
1662,9,31,18,5
1662,10,40,18,2
1662,8,29,9,1
1662,6,26,14,4
1662,4,15,30,3
1662,3,15,25,2
1662,5,21,11,1
1662,1,8,31,3
1265,2,8,32,1
1265,0,37,46,0
1265,11,30,5,1
1265,7,14,31,1
1265,9,28,18,2
1265,10,29,1,1
1265,8,16,43,2
1265,6,14,15,1
1265,4,10,17,1
1265,3,8,50,3
1265,5,10,41,3
1265,13,35,1,1
1265,14,37,19,1
1265,12,30,24,3
1265,1,9,46,5
905,7,41,18,4
905,4,17,24,2
905,2,11,39,3
905,3,15,14,1
905,0,31,40,0
905,5,26,18,2
905,8,50,24,2
905,6,29,9,1
905,1,9,44,3
2376,2,15,16,2
2376,0,29,44,0
2376,7,41,19,3
2376,9,50,24,2
2376,8,44,25,3
2376,6,34,19,3
2376,4,23,14,2
2376,3,15,29,1
2376,5,28,20,3
2376,1,9,39,2
176,7,35,19,2
176,4,19,26,5
176,2,15,28,5
176,3,15,34,4
176,0,1,3,0
176,5,27,1,2
176,8,45,20,2
176,6,29,8,2
176,1,8,41,3
1469,2,14,32,3
1469,0,38,47,0
1469,11,31,1,1
1469,7,26,1,1
1469,9,30,6,1
1469,10,28,18,5
1469,8,28,28,2
1469,6,20,27,4
